dataset,data_family,scenario,gcm,rcm,variant,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,scenario_file_count,reference_file_count,source_inventory_name_size_sha256,available_year_start,available_year_end,rank_year_start,rank_year_end
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,1,2076,72819.445,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,2,2059,71085.79,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,3,2031,61657.51,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,4,2084,60299.72,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,5,2047,58087.58,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,6,2079,56678.94,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,7,2038,54021.24,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,8,2081,53993.695,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,9,2060,53568.75,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP126,CORDEX-CMIP6,SSP126,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,10,2017,48500.117,russo2015-noleap365-v1,6115,Germany+France,151,86,32,032b0b4addb26991f1f65db7cf8b9863959ba683f51092cc424743003d8b01c7,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,1,2078,141179.7,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,2,2089,126368.14,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,3,2090,115196.516,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,4,2067,89209.83,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,5,2100,82018.07,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,6,2093,80352.13,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,7,2099,77051.4,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,8,2091,75934.7,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,9,2050,67769.195,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP245,CORDEX-CMIP6,SSP245,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,10,2088,61612.316,russo2015-noleap365-v1,6115,Germany+France,151,86,32,82838288a9007e2d7302cdc65ea19904e73a86b55e3b5d2d994a53a920740100,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,1,2081,127527.84,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,2,2080,100462.625,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,3,2096,99545.96,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,4,2037,97866.62,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP370,CORDEX-CMIP6,SSP370,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,5,2099,70402.21,russo2015-noleap365-v1,6115,Germany+France,151,86,32,fe171846d06faa59dfd4c8f5765548358aa96a1cf8a719dfde6edbfb0821bbc0,1950,2100,2015,
