dataset,country_set,countries,rank,year,hwmid_sum,country_cells,aggregation
Historical / E-OBS,WCE_minus_LU,Germany+France+Belgium+Netherlands+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2022,22359.1328125,4400,sum
Historical / E-OBS,WCE_minus_CH,Germany+France+Belgium+Netherlands+Luxembourg+Austria+Italy+Spain+Poland+Czechia,1,2003,36458.96875,4315,sum
Historical / E-OBS,WCE_minus_CH,Germany+France+Belgium+Netherlands+Luxembourg+Austria+Italy+Spain+Poland+Czechia,2,2022,22088.466796875,4315,sum
Historical / E-OBS,WCE_minus_AT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Italy+Spain+Poland+Czechia,1,2003,37391.12109375,4244,sum
Historical / E-OBS,WCE_minus_AT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Italy+Spain+Poland+Czechia,2,2022,22072.423828125,4244,sum
Historical / E-OBS,WCE_minus_IT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Spain+Poland+Czechia,1,2003,32628.3828125,3853,sum
Historical / E-OBS,WCE_minus_IT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Spain+Poland+Czechia,2,2025,18787.03125,3853,sum
Historical / E-OBS,WCE_minus_ES,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Poland+Czechia,1,2003,33817.1640625,3552,sum
Historical / E-OBS,WCE_minus_ES,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Poland+Czechia,2,2015,18793.013671875,3552,sum
Historical / E-OBS,WCE_minus_PL,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Czechia,1,2003,37802.9140625,3756,sum
Historical / E-OBS,WCE_minus_PL,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Czechia,2,2025,21250.3671875,3756,sum
Historical / E-OBS,WCE_minus_CZ,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland,1,2003,37586.3203125,4241,sum
Historical / E-OBS,WCE_minus_CZ,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland,2,2022,22071.09375,4241,sum
RCP4.5 / IPSL-WRF,DE_FR,Germany+France,1,2043,30300.048828125,1779,sum
RCP4.5 / IPSL-WRF,DE_FR,Germany+France,2,2070,27046.4140625,1779,sum
RCP4.5 / IPSL-WRF,DE_only,Germany,1,2039,14598.318359375,726,sum
RCP4.5 / IPSL-WRF,DE_only,Germany,2,2065,13723.888671875,726,sum
RCP4.5 / IPSL-WRF,FR_only,France,1,2043,19160.705078125,1053,sum
RCP4.5 / IPSL-WRF,FR_only,France,2,2079,17346.7421875,1053,sum
RCP4.5 / IPSL-WRF,DE_FR_Benelux_Alps,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria,1,2043,38879.91015625,2181,sum
RCP4.5 / IPSL-WRF,DE_FR_Benelux_Alps,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria,2,2070,34225.3671875,2181,sum
RCP4.5 / IPSL-WRF,Western_Central_Europe,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2043,68711.5859375,4410,sum
RCP4.5 / IPSL-WRF,Western_Central_Europe,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2070,65517.8828125,4410,sum
RCP4.5 / IPSL-WRF,WCE_minus_DE,France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2043,57572.36328125,3684,sum
RCP4.5 / IPSL-WRF,WCE_minus_DE,France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2041,56126.85546875,3684,sum
RCP4.5 / IPSL-WRF,WCE_minus_FR,Germany+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2039,56101.48828125,3357,sum
RCP4.5 / IPSL-WRF,WCE_minus_FR,Germany+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2041,54817.46875,3357,sum
RCP4.5 / IPSL-WRF,WCE_minus_BE,Germany+France+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2043,67585.5625,4348,sum
RCP4.5 / IPSL-WRF,WCE_minus_BE,Germany+France+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2041,64504.13671875,4348,sum
RCP4.5 / IPSL-WRF,WCE_minus_NL,Germany+France+Belgium+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2043,67783.375,4327,sum
RCP4.5 / IPSL-WRF,WCE_minus_NL,Germany+France+Belgium+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2070,64652.53125,4327,sum
RCP4.5 / IPSL-WRF,WCE_minus_LU,Germany+France+Belgium+Netherlands+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2043,68646.7109375,4406,sum
RCP4.5 / IPSL-WRF,WCE_minus_LU,Germany+France+Belgium+Netherlands+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2070,65421.7578125,4406,sum
RCP4.5 / IPSL-WRF,WCE_minus_CH,Germany+France+Belgium+Netherlands+Luxembourg+Austria+Italy+Spain+Poland+Czechia,1,2043,66883.65625,4324,sum
RCP4.5 / IPSL-WRF,WCE_minus_CH,Germany+France+Belgium+Netherlands+Luxembourg+Austria+Italy+Spain+Poland+Czechia,2,2070,63823.1953125,4324,sum
RCP4.5 / IPSL-WRF,WCE_minus_AT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Italy+Spain+Poland+Czechia,1,2043,64079.00390625,4243,sum
RCP4.5 / IPSL-WRF,WCE_minus_AT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Italy+Spain+Poland+Czechia,2,2070,62063.4765625,4243,sum
RCP4.5 / IPSL-WRF,WCE_minus_IT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Spain+Poland+Czechia,1,2043,59832.41796875,3851,sum
RCP4.5 / IPSL-WRF,WCE_minus_IT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Spain+Poland+Czechia,2,2070,55484.703125,3851,sum
RCP4.5 / IPSL-WRF,WCE_minus_ES,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Poland+Czechia,1,2043,62712.40234375,3561,sum
RCP4.5 / IPSL-WRF,WCE_minus_ES,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Poland+Czechia,2,2070,60567.9609375,3561,sum
RCP4.5 / IPSL-WRF,WCE_minus_PL,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Czechia,1,2043,59409.3984375,3755,sum
RCP4.5 / IPSL-WRF,WCE_minus_PL,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Czechia,2,2041,57830.65625,3755,sum
RCP4.5 / IPSL-WRF,WCE_minus_CZ,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland,1,2043,63060.69140625,4244,sum
RCP4.5 / IPSL-WRF,WCE_minus_CZ,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland,2,2070,62777.2109375,4244,sum
RCP8.5 / MPI-CLM,DE_FR,Germany+France,1,2092,56896.7890625,1779,sum
RCP8.5 / MPI-CLM,DE_FR,Germany+France,2,2082,50706.01171875,1779,sum
RCP8.5 / MPI-CLM,DE_only,Germany,1,2092,20436.458984375,726,sum
RCP8.5 / MPI-CLM,DE_only,Germany,2,2082,13780.55859375,726,sum
RCP8.5 / MPI-CLM,FR_only,France,1,2098,38299.91796875,1053,sum
RCP8.5 / MPI-CLM,FR_only,France,2,2082,36925.46484375,1053,sum
RCP8.5 / MPI-CLM,DE_FR_Benelux_Alps,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria,1,2092,70029.984375,2181,sum
RCP8.5 / MPI-CLM,DE_FR_Benelux_Alps,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria,2,2082,61478.98046875,2181,sum
RCP8.5 / MPI-CLM,Western_Central_Europe,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2098,161278.625,4410,sum
RCP8.5 / MPI-CLM,Western_Central_Europe,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2092,150750.90625,4410,sum
RCP8.5 / MPI-CLM,WCE_minus_DE,France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2098,157956.34375,3684,sum
RCP8.5 / MPI-CLM,WCE_minus_DE,France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2092,130314.34375,3684,sum
RCP8.5 / MPI-CLM,WCE_minus_FR,Germany+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2098,122978.8828125,3357,sum
RCP8.5 / MPI-CLM,WCE_minus_FR,Germany+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2092,114290.515625,3357,sum
RCP8.5 / MPI-CLM,WCE_minus_BE,Germany+France+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2098,160613.3125,4348,sum
RCP8.5 / MPI-CLM,WCE_minus_BE,Germany+France+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2092,149104.5625,4348,sum
RCP8.5 / MPI-CLM,WCE_minus_NL,Germany+France+Belgium+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2098,160723.328125,4327,sum
RCP8.5 / MPI-CLM,WCE_minus_NL,Germany+France+Belgium+Luxembourg+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2092,148051.953125,4327,sum
RCP8.5 / MPI-CLM,WCE_minus_LU,Germany+France+Belgium+Netherlands+Switzerland+Austria+Italy+Spain+Poland+Czechia,1,2098,161231.28125,4406,sum
RCP8.5 / MPI-CLM,WCE_minus_LU,Germany+France+Belgium+Netherlands+Switzerland+Austria+Italy+Spain+Poland+Czechia,2,2092,150658.5625,4406,sum
RCP8.5 / MPI-CLM,WCE_minus_CH,Germany+France+Belgium+Netherlands+Luxembourg+Austria+Italy+Spain+Poland+Czechia,1,2098,158783.53125,4324,sum
RCP8.5 / MPI-CLM,WCE_minus_CH,Germany+France+Belgium+Netherlands+Luxembourg+Austria+Italy+Spain+Poland+Czechia,2,2092,147035.84375,4324,sum
RCP8.5 / MPI-CLM,WCE_minus_AT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Italy+Spain+Poland+Czechia,1,2098,159962.78125,4243,sum
RCP8.5 / MPI-CLM,WCE_minus_AT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Italy+Spain+Poland+Czechia,2,2092,145770.4375,4243,sum
RCP8.5 / MPI-CLM,WCE_minus_IT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Spain+Poland+Czechia,1,2098,132875.53125,3851,sum
RCP8.5 / MPI-CLM,WCE_minus_IT,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Spain+Poland+Czechia,2,2092,125164.6171875,3851,sum
RCP8.5 / MPI-CLM,WCE_minus_ES,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Poland+Czechia,1,2092,112912.171875,3561,sum
RCP8.5 / MPI-CLM,WCE_minus_ES,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Poland+Czechia,2,2090,108283.7265625,3561,sum
RCP8.5 / MPI-CLM,WCE_minus_PL,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Czechia,1,2098,160695.828125,3755,sum
RCP8.5 / MPI-CLM,WCE_minus_PL,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Czechia,2,2092,137523.53125,3755,sum
RCP8.5 / MPI-CLM,WCE_minus_CZ,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland,1,2098,160968.609375,4244,sum
RCP8.5 / MPI-CLM,WCE_minus_CZ,Germany+France+Belgium+Netherlands+Luxembourg+Switzerland+Austria+Italy+Spain+Poland,2,2092,146682.0625,4244,sum
