dataset,weighting,rank,year,weighted_hwmid,weighted_countries,hwmid_method
RCP4.5 / IPSL-WRF,wind_onshore_tyndp2024_pemmdb_nt2040,2,2043,14.512631226444933,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,wind_tyndp2024_pemmdb_nt2040,1,2070,15.110681037615514,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,wind_tyndp2024_pemmdb_nt2040,2,2043,14.55017501807411,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,bio_tyndp2024_pemmdb_nt2040,1,2090,33.55475429204893,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,bio_tyndp2024_pemmdb_nt2040,2,2092,32.21436597971472,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,capacity_tyndp2024_pemmdb_nt2040,1,2092,33.89486199577937,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,capacity_tyndp2024_pemmdb_nt2040,2,2098,28.925157456655363,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hydro_tyndp2024_pemmdb_nt2040,1,2098,43.72036911946717,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hydro_tyndp2024_pemmdb_nt2040,2,2090,39.01114323041603,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,nuclear_tyndp2024_pemmdb_nt2040,1,2082,33.8843847831605,Czechia+France+Poland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,nuclear_tyndp2024_pemmdb_nt2040,2,2092,33.67265887023926,Czechia+France+Poland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,pumped_hydro_tyndp2024_pemmdb_nt2040,1,2098,37.67653220179631,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,pumped_hydro_tyndp2024_pemmdb_nt2040,2,2092,36.037743203642734,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,pv_tyndp2024_pemmdb_nt2040,1,2092,33.86139077171956,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland,russo2015-noleap365-v1
