dataset,plot_label,data_family,group_label,scenario,gcm,chain_key,rank,year,hwmid_sum,hwmid_method,country_cells
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,17,2077,25438.324,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,18,2085,24383.559,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,19,2096,21922.738,russo2015-noleap365-v1,1779
CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63 RCP85,CNRM-ALADIN RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,CNRM-CERFACS-CNRM-CM5,CNRM-ALADIN,20,2054,20361.885,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,1,2043,30298.39,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,2,2070,27049.078,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,3,2079,21659.887,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,4,2065,20741.78,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,5,2039,19198.787,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,6,2040,19186.648,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,7,2041,18729.105,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,8,2038,16063.481,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,9,2088,13665.989,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,10,2086,13475.312,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,11,2098,13288.786,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,12,2095,12889.806,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,13,2080,11467.56,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,14,2062,11363.81,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,15,2020,11163.929,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,16,2003,10626.006,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,17,2064,10121.61,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,18,2053,9059.989,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,19,2074,8452.613,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP45,IPSL-WRF RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,IPSL-IPSL-CM5A-MR,IPSL-WRF,20,2089,8046.186,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,1,2094,46789.492,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,2,2093,40336.215,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,3,2081,33566.9,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,4,2095,33519.89,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,5,2015,29927.654,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,6,2097,26569.916,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,7,2068,24845.898,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,8,2056,22844.898,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,9,2085,21501.1,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,10,2084,20363.58,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,11,2071,19645.572,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,12,2074,19187.291,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,13,2019,17827.453,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,14,2055,16709.1,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,15,2061,15992.085,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,16,2089,15575.27,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,17,2042,15498.84,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,18,2058,14654.941,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,19,2027,14403.245,russo2015-noleap365-v1,1779
IPSL-IPSL-CM5A-MR / IPSL-WRF381P RCP85,IPSL-WRF RCP8.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP85,IPSL-IPSL-CM5A-MR,IPSL-WRF,20,2045,13827.48,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,1,2062,22341.527,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,2,2030,19579.527,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,3,2063,19218.338,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,4,2086,17959.06,russo2015-noleap365-v1,1779
MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17 RCP45,MPI-CLM RCP4.5,CORDEX-CMIP5,CORDEX-CMIP5 / RCP projections,RCP45,MPI-M-MPI-ESM-LR,MPI-CLM,5,2070,16170.593,russo2015-noleap365-v1,1779
