dataset,criterion,criterion_label,metric,rank,year,score,country_cells,aggregation,hwmid_method
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,1,2043,17.0918849595232,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,2,2070,15.041869502987735,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,3,2079,12.420025589359328,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,4,2065,11.36035266925127,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,5,2041,10.655331778077931,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,6,2039,10.513057225837724,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,7,2040,10.454417085892237,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,8,2038,9.321110212497231,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,9,2086,7.625620664516365,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_area_mean,Area-weighted HWMId mean,hwmid,10,2088,7.510815884442517,1779,area_weighted_mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,1,2043,17.03113555908203,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,2,2070,15.204652786254885,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,3,2079,12.175315856933594,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,4,2065,11.659235000610352,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,5,2039,10.791898727416992,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,6,2040,10.785075187683104,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,7,2041,10.527883529663086,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,8,2038,9.029500961303713,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,9,2088,7.681837558746338,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_mean,Mean HWMId,hwmid,10,2086,7.574655055999756,1779,mean,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,1,2041,124.81748962402344,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,2,2089,100.04188537597656,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,3,2088,90.3004913330078,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,4,2039,87.06388092041016,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,5,2082,83.68892669677734,1779,max,russo2015-noleap365-v1
RCP4.5 / IPSL-WRF,hwmid_max,Maximum grid-cell HWMId,hwmid,6,2086,83.2593994140625,1779,max,russo2015-noleap365-v1
