dataset,weighting,rank,year,weighted_hwmid,weighted_countries
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,9,1957,3.0524488946524992,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pumped_hydro_tyndp2024_pemmdb_nt2040,10,2012,2.951546746672104,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,1,2003,7.650054619525577,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,2,2019,4.829213090973451,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,3,2015,4.589211395827925,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,4,2022,4.398487013923153,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,5,2025,4.034203399141781,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,6,2023,3.3986356028279032,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,7,2018,3.358900206279721,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,8,2020,3.1468116673484845,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,9,2006,2.588345505794144,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,pv_tyndp2024_pemmdb_nt2040,10,2012,2.4521798530332,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,1,2003,7.935113151123029,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,2,2019,4.874565791150106,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,3,2015,4.542097375898161,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,4,2022,4.4579638069864,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,5,2025,4.189410734230258,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,6,2023,3.4855641615168187,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,7,2018,3.330430243680021,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,8,2020,3.1962640114161034,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,9,2006,2.555589748078691,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,renewables_tyndp2024_pemmdb_nt2040,10,2012,2.4644018423310525,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,1,2003,7.624956843871049,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,2,2019,4.811067621273073,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,3,2015,4.578220907599422,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,4,2022,4.442500975056527,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,5,2025,4.080517930960744,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,6,2023,3.428469856770743,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,7,2018,3.354361071426765,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,8,2020,3.1353046955817137,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,9,2006,2.574098245003385,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,solar_tyndp2024_pemmdb_nt2040,10,2012,2.46484953573397,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,1,2003,7.818618652652378,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,2,2019,4.93155712504652,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,3,2015,4.7588023885835655,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,4,2022,4.011284306531731,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,5,2025,3.5696789302477554,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,6,2018,3.4355360778096804,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,7,2023,3.1662753172948617,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,8,2020,3.044544263731518,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,9,2006,2.6850174281441204,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_total_tyndp2024_pemmdb_nt2040,10,1957,2.587445485981992,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,1,2003,7.587756985409377,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,2,2019,4.974991992130158,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,3,2015,4.576342374093825,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,4,2022,3.782977268518102,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,5,2018,3.610764558049859,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,6,2020,3.226159579121644,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,7,2025,3.210225669694776,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,8,2006,2.7645570272238364,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,9,2023,2.742064233437992,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,storage_tyndp2024_pemmdb_nt2040,10,1957,2.4565919914881587,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,1,2003,9.423520101528707,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,thermal_nuclear_tyndp2024_pemmdb_nt2040,2,2022,5.030504972990705,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
